player_id	last_name	first_name	team	position	total_games	total_score	average_score	price	breakeven	projected_score	projected_price	projected_price_change	active	
107	Weekes	Kaeo	CBR	FLB	3	98	32.6667	475600	84	36	436800	-38800	True	
108	Young	Hudson	CBR	2RF	3	211	70.3333	682400	79	61	668200	-14200	True	
109	Averillo	Jake	DOL	CTW	3	123	41	491300	74	53	474500	-16800	True	
110	Bostock	Jack	DOL	CTW	1	55	55	515400	53	44	515400	0	True	
111	Bromwich	Kenny	DOL	2RF	0	0	0	396900	41	39	396900	0	True	
112	Donoghoe	Kurt	DOL	HOK	3	82	27.3333	240000	31	25	235100	-4900	True	
113	Farnworth	Herbie	DOL	CTW	3	208	69.3333	712100	80	98	726900	14800	True	
114	Feagai	Max	DOL	CTW	0	0	0	353200	37	33	353200	0	True	
115	Finefeuiaki	Kulikefu	DOL	2RF	2	80	40	368200	35	31	364800	-3400	True	
116	Flegler	Thomas	DOL	FRF	0	0	0	462000	48	56	462000	0	True	
117	Fuller	Trai	DOL	FLB	0	0	0	633600	66	62	633600	0	True	
118	Gilbert	Tom	DOL	2RF	3	158	52.6667	472900	54	49	468800	-4100	True	
119	Graham	Harrison	DOL	HOK	0	0	0	232600	24	28	232600	0	True	
120	Isaako	Jamayne	DOL	CTW	3	165	55	594000	117	50	539700	-54300	True	
121	Jackson	Ryan	DOL	FRF	0	0	0	198800	21	20	198800	0	True	
122	Katoa	Isaiya	DOL	HFB	3	212	70.6667	463600	-15	47	513900	50300	True	
123	Kaufusi	Felise	DOL	2RF	3	94	31.3333	383000	60	31	359600	-23400	True	
124	Keeley	Oryn	DOL	2RF	2	41	20.5	274600	45	31	263300	-11300	True	
125	Kerr	Josh	DOL	FRF	2	67	33.5	384900	53	28	364300	-20600	True	
126	Lemuelu	Connelly	DOL	2RF	1	16	16	483500	86	35	483500	0	True	
127	Marshall-King	Jeremy	DOL	HOK	3	141	47	528500	81	40	494900	-33600	True	
128	Naufahu	Tevita	DOL	CTW	0	0	0	198800	21	20	198800	0	True	
129	Nicholls	Mark	DOL	FRF	2	76	38	434500	60	39	417500	-17000	True	
130	Nikorima	Kodi	DOL	5/8	2	70	35	500200	87	42	464000	-36200	True	
131	O'Sullivan	Sean	DOL	HFB	1	44	44	240800	6	30	240800	0	True	
132	Plath	Max	DOL	2RF	3	187	62.3333	612500	88	61	590900	-21600	True	
133	Rasmussen	Elijah	DOL	CTW	0	0	0	198800	21	20	198800	0	True	
134	Saifiti	Daniel	DOL	FRF	3	175	58.3333	462700	20	63	497800	35100	True	
135	Stone	Ray	DOL	2RF	3	98	32.6667	359100	41	33	352300	-6800	True	
136	Symonds	Lewis	DOL	2RF	0	0	0	198800	21	20	198800	0	True	
137	Tabuai-Fidow	Hamiso	DOL	FLB	3	132	44	594600	134	49	525500	-69100	True	
138	Tawha	Aublix	DOL	CTW	0	0	0	198800	21	20	198800	0	True	
139	Teague	Mason	DOL	2RF	0	0	0	232600	24	17	232600	0	True	
140	Tupou	Junior	DOL	CTW	2	62	31	381800	57	39	366800	-15000	True	
141	Walsh	James	DOL	2RF	0	0	0	198800	21	20	198800	0	True	
142	Waqa	Michael	DOL	FRF	0	0	0	198800	21	20	198800	0	True	
