player_id	last_name	first_name	previous_games	previous_average	previous_total	active	team	breakeven	price	position	
174	Anderson	Grant	14	45.43	636	True	MEL	45	444700	CTW	
175	Asofa-Solomona	Nelson	17	37.12	631	True	MEL	70	363300	FRF	
176	Blore	Shawn	21	54.57	1146	True	MEL	71	534200	2RF	
177	Chan	Joe	11	27.27	300	True	MEL	28	267000	2RF	
178	Coates	Xavier	13	50.77	660	True	MEL	41	497000	CTW	
179	Fa'alogo	Sua	14	53.86	754	True	MEL	55	527200	CTW	
180	Garlick	Bronson	4	33.25	133	True	MEL	27	260400	HOK	
181	Grant	Harry	20	70.65	1413	True	MEL	129	691600	HOK	
182	Howarth	Jack	13	43.54	566	True	MEL	-2	426200	CTW	
183	Huen	Stanley	0	0	0	True	MEL	21	198800	5/8	
184	Hughes	Jahrome	20	82.25	1645	True	MEL	130	805200	HFB	
185	Kamikamica	Tui	19	35	665	True	MEL	27	342600	FRF	
186	Katoa	Eliesa	22	73.27	1612	True	MEL	62	717300	2RF	
187	King	Josh	23	49.87	1147	True	MEL	31	488200	FRF	
188	Leo	Moses	0	0	0	True	MEL	22	214000	CTW	
189	Loiero	Trent	23	52.35	1204	True	MEL	82	512400	2RF	
190	MacDonald	Alec	19	34.84	662	True	MEL	51	341100	2RF	
191	Meaney	Nick	21	63.24	1328	True	MEL	50	619000	CTW	
192	Munster	Cameron	14	62.21	871	True	MEL	31	609000	5/8	
193	Papenhuyzen	Ryan	17	63	1071	True	MEL	-4	616700	FLB	
194	Pezet	Jonah	3	31	93	True	MEL	29	276100	5/8	
195	Utoikamanu	Stefano	24	54.04	1297	True	MEL	96	529000	FRF	
196	Vaalepu	Lazarus	6	25.83	155	True	MEL	20	232600	FRF	
197	Warbrick	William	21	53.38	1121	True	MEL	68	522500	CTW	
198	*** Welch	Christian	17	40.88	695	False	MEL	42	400200	FRF	
199	Wishart	Tyran	23	56.87	1308	True	MEL	89	556700	5/8	
200	Aloiai	Josh	20	34.45	689	True	MNL	36	337200	FRF	
201	Arthur	Jakob	0	0	0	True	MNL	24	232600	HFB	
202	Brooks	Luke	24	54.04	1297	True	MNL	83	479900	5/8	
203	Brown	Nathan	20	39.6	792	True	MNL	40	387600	2RF	
204	Bullemor	Ethan	21	36.48	766	True	MNL	12	414900	FRF	
205	Chan Kum Tong	Gordon	10	17.4	174	True	MNL	24	232600	HOK	
206	Chee-Kam	Michael	16	38.25	612	True	MNL	39	374400	2RF	
207	Cherry-Evans	Daly	22	66.05	1453	True	MNL	70	711900	HFB	
208	Croker	Lachlan	14	34.14	478	True	MNL	35	334200	HOK	
209	Faulalo	Clayton	3	32.67	98	True	MNL	37	232600	CTW	
210	Garrick	Reuben	22	69.5	1529	True	MNL	23	748500	CTW	
211	Hopoate	Lehi	12	60.17	722	True	MNL	79	575000	FLB	
212	James	Aitasi	1	17	17	True	MNL	24	232600	2RF	
213	Koula	Tolutau	19	46.53	884	True	MNL	86	455400	CTW	
214	Matterson	Dean	0	0	0	True	MNL	22	214000	2RF	
215	Navale	Caleb	2	34.5	69	True	MNL	25	236400	2RF	
216	Olakau'atu	Haumole	19	68	1292	True	MNL	86	680900	2RF	
217	Paseka	Taniela	21	45.14	948	True	MNL	67	446500	FRF	
218	Patolo	Chris	4	8.75	35	True	MNL	24	232600	FRF	
219	Saab	Jason	17	54	918	True	MNL	48	593200	CTW	
220	Schoupp	Aaron	3	35.33	106	True	MNL	25	242100	CTW	
221	Simpkin	Jake	10	32.5	325	True	MNL	22	338700	HOK	
222	Sipley	Toafofoa	13	37.62	489	True	MNL	11	368200	FRF	
223	Talau	Tommy	21	53.76	1129	True	MNL	55	526300	CTW	
224	Taukei'aho	Siua	0	0	0	True	MNL	67	453300	2RF	
225	Tevaga	Jazz	19	37.68	716	True	MNL	56	339300	2RF	
226	Trbojevic	Ben	19	42.89	815	True	MNL	40	427600	CTW	
227	Trbojevic	Jake	22	51.41	1131	True	MNL	77	474400	2RF	
228	Trbojevic	Tom	18	89.44	1610	True	MNL	102	875600	FLB	
229	Tuaimalo Vaega	Raymond	3	51	153	True	MNL	36	349500	CTW	
230	Walsh	Joey	0	0	0	True	MNL	21	198800	HFB	
231	Annan	Taj	0	0	0	True	NEW	22	214000	CTW	
